柔軟	róuruăn	supple	我們說：「需要一個強壯的背脊，但柔軟的顏面。」
親	qīn	kiss	真的，而且我非常高興，你們能夠成為世界上，親眼目睹這個技術，最早的一群人之一，
售貨員	shòuhuòyu	salesperson	售貨員對我說
多虧	duōkuī	Thanks	直到最後一秒多虧阿根廷的身份文件，他們才得以離開
滅	miè	extinguish	他的小小的腦袋會送出化學物質，這種物質的毀滅程度會讓腦中分辨是非的部分停止生長，
辜負	gūfù	disappoint	我們孩子的老師似乎在辜負他們；
渾身	húnshēn	all over the body	像那可憐的小羊，我希望它不再渾身發抖了
武力	wŭlì	force	現代人得以享有現代文明社會的條件，就是不能使用武力。
流落	liúluò	drift	受精神疾病所苦、流落街頭
撫育	fŭyù	tending	然後撫育他們的小孩，以及他們會活多久。
主義	zhŭyì	ism	在瑞士銀行有著大量存款的所謂“社會主義者”，假惺惺的“解放者”，掠奪百姓的“菁英階層”
本質	běnzhí	essence	他們通常不是故意的，我們也衷心希望不是，但卻還是扭曲了證據的本質。
服飾	fúshì	trappings	不再穿戴華麗閃亮的服飾，那一定代表某種意義。
十足	shízú	Full	♫(索布爾:)有時默契十足 (史溫妮:)有時混亂十足♫
猶豫	yóuyù	hesitate	根本無法動筆。受夠了一再猶豫。我開始畫倒楣的渡渡鳥。
合約	héyuē	contract	而後我簽了一紙合約，著手撰寫更陰鬱想法的書籍，
富有	fùyǒu	wealthy	♫親愛的，我會成為無冕的國王，無論尊貴與卑微，無論富有與貧困。♫
從容	cóngróng	easiness	垃圾會從容器中溢出，
迎	yíng	greet	儘管我是個不喜歡孤軍奮戰的人，但(這個運動這麼受歡迎)還是出乎我的意料-
茶具	chájù	tea set	那是一套相當昂貴的咖啡茶具組；
患者	huànzhě	patient	如果能在患者身上發現對一個半音音準的辨識能力的話，我們會很高興
撐腰	chēngyāo	Back	由偽科學撐腰的詐騙式宣傳。
動靜	dòngjìng	Movement	沒有穿上衣，沒有動靜，人們只是繞過，跨過他
成全	chéngquán	Fulfill	「有麵包！神，您成全了我的請願，您回答了我的問題。」
經典	jīngdiăn	classic	天神因陀羅跳到了林中空地上。(註：因陀羅，印度吠陀經中眾神之首，為最強戰鬥之神；此神性易怒、縱酒慾、好美色。佛教經典中譯名為帝釋天。)
盲從	mángcóng	Follow	只為了盲從他們所謂的有智慧的話
治理	zhìlǐ	govern	但這也會從根本上改變我們的國家的治理和管理模式，
急躁	jízào	irritable	他們的注意力發生轉移，他們開始覺得有點無聊，開始急躁。
瞧不起	qiáobùqǐ	look down on	作為一個極其爭強好勝的社會，他們瞧不起因紐特人，
包圍	bāowéi	encircle	畫面下方的圖片，這個鳥類棲息地已經被柵欄所包圍。
分寸	fēncùn	Discretion	你扮演不同角色，你是如何拿捏分寸的？
硬體	yìngtǐ	hardware	展示給大家看到第一個可以完整編程, 運作起來像是電腦硬體的細胞
農具	nóngjù	Tools	能幫助他們提高產量的農具，
傷口	shāngkǒu	wounds	但其實，有些傷口和渴望是我們得立刻去撫平或滿足的，
渡	dù	cross	「當世上最後一隻渡渡鳥死去的時候，斯賓諾莎正不斷尋找一個適用萬物的理性解釋
總結	zǒngjié	summary	要把剛才說的都總結一下，變成一張圖，就會使這樣。
例	lì	example	這個影片表現了自行複製,跟模型建構,如此之類可以從這件製作到別件東西的例子,
胡亂	húluàn	It’s a mess	因為它不合身且被胡亂地塞在你的腦袋裡，所以它充滿了皺摺。
貝殼	bèiké	seashell	貝殼卻是在海水中產生，在非常靠近生物體的地方產生。
舉止	jŭzhǐ	behavior	注意你的言行舉止！當心身邊的大人！小心你所說的話！
貪心	tānxīn	cupidity	♫ 他們不貪心，他們只是怕得發抖 ♫
硬	yìng	hard	芽看起來似乎很微小，但為了得到陽光的滋潤它們可以穿過堅硬的磚牆，
朗誦	lăngsòng	recite	但這邊有首葉慈的詩，我想為各位朗誦最後兩行
草叢	căocóng	brushwood	另一方面，如果你把草叢中的聲響當做風聲，
囊括	nángguā	Include	能源消耗總值，不只是運輸，而是囊括全部，
單獨	dāndú	individually	譬如，英國首相布萊爾跟他私人造型師單獨在一起的時候幹什麽？
行使	xíngshǐ	Exercise	還有在我們身體裡行使其他各式各樣的重要功能。
共和國	gònghéguó	republic	在阿拉木圖(哈薩克共和國城市)開會, 作出這樣的宣言
上門	shàngmén	Door	然後，當我上門推銷的時候，我不是說：“您想買一個嗎？”
光滑	guānghuá	smooth	光滑的表面上爬行。現在, 在這很短的時間內, 我想做的事，
履行	lǚxíng	fulfill	履行他們對世界、對國家以及照顧子女的職責
演變	yănbiàn	evolution	許多國家一直在變動: 分裂, 獨立, 演變, 失敗.
碑	bēi	stele	完成了他們最大的紀念碑，而且，人口數量也達到了史上最多。
攝氏	shèshì	Celsius	全球溫度在這個世紀末將會上升攝氏四到五度。
出品	chūpǐn	produce	它變成了一個玩賞產物, 一種新出品的貨物，
歸	guī	return	內容說到，把藝術組歸到馬桶裝設組的管理麾下，於是這也成為我這份工作的句點。
藩籬	fánlí	Barriers	既有體系中的武器，巡邊員，關卡，以及藩籬
草案	căoàn	draft	我們已經擬好監察、申訴專員草案，要交給印度政府。
外衣	wàiyī	outerwear	則需要他們 經過數千代的傳承，或許需要十萬年方能得出外衣。
漆	qī	lacquer	但是荷蘭男孩製造了一個，大家會討論的油漆桶，因為這油漆桶與眾不同。
鴉片	yāpiàn	opium	是因為吃了過量的鴉片而意外過世的
才智	cáizhì	intelligence	我看著他失去了他的才智，他的幽默感，他的語言技巧
促使	cùshǐ	urge	促使我們形成某種既定的行為方式？也許螞蟻把人腦當成了宿主，
圍巾	wéijīn	scarf	旁邊的潛水員要發出圍巾的聲音
遺留	yíliú	Legacy	我們該思考一下 我想要這成為我所遺留來的一部分嗎?
個體	gètǐ	individual	就像我說的，如果是群體行動，你是那個不幸被獵食的個體機會
血跡	xiějī	bloodstain	剛生出來的時候到處都是血跡，很噁心、很混亂，
烈士	lièshì	martyr	如果我們有飛機，就不需要烈士，那就有差別
關懷	guānhuái	care	我和一個關懷街友的社工團體，一起花了幾個星期的時間
岩石	yánshí	rock	我認為，我們目前使用的電腦介面還停留在「岩石壁畫」時代。
俗稱	súchēng	Commonly known as	徵召、訓練並付錢給網路寫手（俗稱五毛）
盛行	shèngxíng	rife	在非洲, 因為沒有這些人口密集的都市, 就沒有造成瘟疫盛行,
主權	zhŭquán	sovereignty	工作內容 、所屬團隊 、所需技巧等都有自主權，
中醫	zhōngyī	Chinese medicine	由於手術過程中醫生需要跟她講話，
情侶	qínglǚ	couple	情侶對情侶 或是讀者和期刊 等等
階層	jiēcéng	hierarchy	我們活在「玻璃天花板」之下（通常專指女性所遭遇的在工作中升級時遇到的一種無形的障礙, 使人不能到達較高階層）
出面	chūmiàn	come forward	“拉姆，求求你為她做點什麽吧。你不能出面嗎？”
擔	dān	picul	很少人能夠結合這些後自成一格，也是最重要的事情，感到無比的自信，並將它放在一個組合中，然後去承擔一些瘋狂的風險。
辯	biàn	argue	因此，這些報紙、小報、辯論都被利用了，它們全都是有關這種作品的。
處方	chŭfāng	prescription	美國每年開出超過一億張以上抗憂鬱症藥處方籤，
誤差	wùchāi	error	而這個道理可能會讓你出現誤差。這並不僅限於填詞遊戲。
強求	qiángqiú	importune	或是這個故事和什麼有關。如果你過分強求，
傾向	qīngxiàng	inclined	也就是政治傾向......以及算我好運......儲蓄行為的調查
歸還	guīhuán	return	於是阿格琉斯拿出赫克托的屍體，小心翼翼地歸還給老國王
末期	mòqí	telophase	這份報告是根據那些生命末期的人在臨終前所做的完整口述
意願	yìyuàn	Will	完全是按開發商的意願建的. 他們告訴我們尺寸大小等等
品味	pǐnwèi	taste	同時也是一種品味的表示,而他們願意為此付費
在座	zàizuò	Here	我想請她跟在座各位分享，究竟是什麼原因讓她成為如此傑出的運動員。
世代	shìdài	generation	在工作上,在社會地位上感到焦慮.並且是當今世代特有,前所未見的
選拔	xuănbá	select	人們可以在奧運會的選拔賽做出什麼樣的表現呢，這將會變的很有趣
賭場	dŭchăng	casino	科特：好，反正就是有關休閒娛樂的建築，像是賭場、旅館和餐廳等。
名號	mínghào	Name	就是你最難纏的敵人，你也不願其被冠上這樣的名號
廢止	fèizhǐ	abolition	在南部廢止種族隔離學校的第一個孩子 –
餐具	cānjù	tableware	我看待這件事的觀點是，如果你在學校裡面禁止使用刀叉作為餐具，
笑嘻嘻	xiàoxīxī	Grinning	我不是每天都笑嘻嘻的，但是我有進步喔！
使節	shǐjié	Envoy	這是國家藝術館中《使節》
處於	chŭyú	In	這就是我們所面對的情況。我們身處於一個對完整性、責任和透明化的基本保護都被完全捨棄的狀況。
上空	shàngkōng	airspace	我也認識飛機駕駛，因為他們常讓我坐飛機上空服員的活動摺椅，
丈	zhàng	gentleman	她的丈夫是位有名的婆羅門。(註：婆羅門為印度種姓制度中地位最高者)
惡	è	evil	但他們的人生卻如同羅伯特·路易斯·斯蒂文森筆下的變身怪醫，由善轉惡。
在場	zàichăng	present	在場有一位非常美好的先生在觀眾席，而我不知道他坐在哪裡。
頑強	wánqiáng	tenacious	他們將可能是你碰到的人當中一些最獨立、最頑強、
扎	zhā	stab	一整個星期扎實地教學。嗯，一星期我有四分之三的時間在教書，但已經夠好了。
分貝	fēnbèi	decibel	分貝範圍、音樂的動態範圍
平面	píngmiàn	plane	因此，全球暖化、海平面上升，是馬爾地夫面臨的嚴重問題。
追究	zhuījiù	investigate	如果追究真理的實踐都不被稱為科學，那科學還是什麼？
雷達	léidá	radar	和雷達傳輸系統。此外還有其他的現象發生。
病菌	bìnjùn	germs	在智利,秘魯和厄瓜多爾病菌對抗生素的敏感性(有效性)的差異性變化很大.
及早	jízăo	Early	這樣我們可以及早把那些像威廉一樣的誤入歧途的孩子扶正
衰退	shuāituì	decline	(經濟衰退) (國家債務) (世界末日) (埃及) (敘利亞)
履歷	lǚlì	curriculum vitae	這叫做聰明的失敗。為什麼? 因為你不能把這放在你履歷上。
臥	wò	crouch	像是面擋土牆，我創造出一個較低的平面區域並規劃成主臥室
遺體	yítǐ	Body	但是人們願意捐獻他們的遺體給藝術和科學事業。
蹺課	qiàokè	play truant	我從來不蹺課。對不起，我不知道這裏是否有人蹺課。
能量	néngliàng	energy	如果你在一小時內很均勻的消耗掉這些能量，大約等於一兆六千瓦的功率。
罪惡	zuìè	vice	接下來是很好、糟糕、罪惡感、正確、沮喪及不舒服等。
兩極	liăngjí	Poles	這些事產生了一個更兩極化和有更多功能障礙的機構。
戰略	zhànlüè	stratagem	所以我們將其稱之為反介入、區域封鎖的非對稱戰略理論
集結	jíjié	concentrate	「對，書本。你知道，油墨印刷在紙張上集結成冊的東西，
學識	xuéshì	knowledge	所以，只要想想，學算數，學識字
和諧	héxié	harmonious	我可以把我的大提琴演奏聲轉變成和諧的人聲，一個樂團的協奏，
繪畫	huìhuà	painting	人為愛譜曲、賦詩、寫小說、刻雕像、繪畫、流傳了迷思和神話，
阻擋	zŭdăng	block	但有些立體角是無效的 因為被自己的銀河系所干擾與阻擋
更動	gēngdòng	change	所以每當某人更動了內容，就會在「最近更改」頁面顯示
突兀	túwù	abrupt	現在讓我作個有點突兀的轉折
亞軍	yăjūn	runner-up	北大西洋公約組織參加戰鬥，不久，塞爾維亞軍隊撤退。
貼心	tiēxīn	Intimate	如果你知道這個名字，打電話給我，跟我說她愛上了這個封面，它太貼心了。
升值	shēngzhí	appreciate	因為你讓我的地價升值到
歸納	guīnà	Induction	不應該馬上就歸納這些文化中的習俗是伊斯蘭原始教旨的一部分
粘	nián	sticky	東西--黏滑的，難聞的氣味，粘性，腐敗，卑鄙
圖	tú	fig	這是史蒂夫、瑪麗和他們的同事一起繪製的一幅立體的紅杉樹冠層地圖，這棵樹叫“伊露維塔”（魔戒中的眾生之父），
產物	chănwù	product	或說我們比較想要嚴肅的產物，而非偏廣告消費性質的。
中獎	zhòngjiăng	Winning	所以我告訴你中獎會令人的生活更差而他們的朋友也開始煩擾他們
即時	jíshí	immediate	現在各位看到的是我們連上網路的即時示範，它是根基於「海龍」技術。
素質	sùzhí	diathesis	去在一個貧窮的國家- 盧旺達- 建立一個高素質的鄉村衛生系統
鋼鐵	gāngtiě	steel	專為失業的鋼鐵業工人、單親媽媽和接受福利救濟的社福媽媽蓋的。
